lat,lon,amenaza,probabilidad
-40.684471,-72.600272,Robo,0.0
-22.480469,-68.927902,Robo,0.3
-33.427986,-70.611414,Robo,0.0
-39.861595,-71.90783,Robo,0.0
-33.051481,-71.607728,Robo,0.0
-33.43684,-70.666231,Robo,0.0
-33.462221,-70.68793,Robo,1.0
-33.026343,-71.554924,Robo,0.0
-33.451836,-70.656833,Robo,0.0
-46.623588,-72.675259,Robo,0.0
-33.43597,-70.588551,Robo,0.0
-39.664995,-72.948883,Robo,0.0
-23.686184,-70.412664,Robo,0.0
-54.935444,-67.61486,Robo,0.0
-33.426568,-70.645448,Robo,0.0
-38.734963,-72.581511,Robo,0.0
-36.83365,-73.050211,Robo,1.0
-32.753467,-70.721108,Robo,0.0
-39.812716,-73.250615,Robo,0.0
-38.032298,-73.072975,Robo,0.0
-39.794647,-73.25282,Robo,0.0
-37.075726,-73.160307,Robo,0.0
-35.599456,-71.713133,Robo,0.0
-33.04781,-71.615524,Robo,0.0
-32.912238,-71.230886,Robo,0.0
-27.363265,-70.33085,Robo,0.0
-37.598081,-73.665111,Robo,0.0
-33.440554,-70.631314,Robo,0.0
-33.427926,-70.589688,Robo,0.0
-40.977785,-72.887313,Robo,0.0
-53.163384,-70.907179,Robo,0.0
-38.24752,-72.666118,Robo,0.0
-33.439922,-70.679491,Robo,0.0
-33.402072,-70.505038,Robo,0.0
-51.072703,-73.093929,Robo,0.0
-36.827274,-73.039284,Robo,0.0
-51.255741,-72.344605,Robo,0.0
-33.441976,-70.679411,Robo,0.0
-41.61785,-73.594029,Robo,0.0
-33.049707,-71.613751,Robo,0.0
-33.5167,-70.783008,Robo,0.0
-53.163622,-70.904141,Robo,0.0
-36.826474,-73.042195,Robo,0.3
-33.666183,-70.934018,Robo,0.0
-39.81605,-73.249186,Robo,0.0
-34.38836,-70.766165,Robo,0.0
-53.064655,-70.859576,Robo,0.0
-20.268892,-70.102554,Robo,0.0
-33.48543,-70.696691,Robo,0.0
-53.162173,-70.905815,Robo,0.0
-33.439883,-70.683563,Robo,0.0
-33.053882,-71.622513,Robo,1.0
-42.622634,-73.774027,Robo,0.0
-33.44387,-70.622366,Robo,0.0
-45.371387,-71.994733,Robo,0.0
-25.409371,-70.489173,Robo,0.0
-53.515975,-70.961835,Robo,0.0
-33.462994,-70.542308,Robo,0.0
-36.409689,-72.401444,Robo,0.0
-34.640248,-71.364173,Robo,0.0
-33.444224,-70.648048,Robo,1.0
-33.438483,-70.646868,Robo,0.0
-36.283258,-72.541511,Robo,0.0
-33.356483,-70.513299,Robo,0.0
-39.10108,-72.67185,Robo,0.0
-38.03352,-73.066074,Robo,0.0
-33.677797,-70.978138,Robo,0.0
-36.933726,-73.016826,Robo,0.0
-33.419089,-70.650584,Robo,0.0
-34.380614,-70.76805,Robo,0.0
-23.700463,-70.422346,Robo,0.0
-33.027917,-71.553835,Robo,0.0
-33.45676,-70.65613,Robo,0.0
-33.024839,-71.639294,Robo,0.0
-42.461183,-73.799042,Robo,0.0
-33.536988,-70.586749,Robo,0.0
-32.755794,-70.721245,Robo,0.0
-39.84904,-71.945589,Robo,0.0
-34.385519,-71.999931,Robo,0.0
-33.424061,-70.644934,Robo,0.0
-36.834507,-73.10596,Robo,0.0
-32.72,-71.407715,Robo,0.0
-33.717208,-70.541954,Robo,0.0
-33.444398,-70.655354,Robo,0.0
-33.443505,-70.652936,Robo,1.0
-42.914677,-72.703549,Robo,0.0
-28.508557,-71.078095,Robo,0.0
-33.046921,-71.607015,Robo,0.0
-41.867633,-73.826095,Robo,0.0
-33.424154,-70.645059,Robo,0.0
-33.450959,-70.565348,Robo,0.0
-22.27917,-68.32194,Robo,0.0
-46.14066,-72.151537,Robo,0.0
-37.135008,-72.726405,Robo,0.0
-22.908758,-68.201565,Robo,0.0
-36.996653,-73.143451,Robo,0.0
-30.033789,-70.706942,Robo,0.0
-35.461557,-71.577662,Robo,0.0
-33.019839,-71.54988,Robo,0.0
-35.681889,-71.739387,Robo,0.0
-41.966485,-72.471103,Robo,0.0
-33.029122,-71.575373,Robo,0.0
-20.22121,-70.1526,Robo,0.0
-35.407617,-71.591155,Robo,0.0
-33.435361,-70.644189,Robo,0.0
-33.438527,-70.649398,Robo,0.0
-41.711559,-73.545599,Robo,0.0
-41.485379,-72.900678,Robo,0.0
-41.132633,-73.029672,Robo,0.0
-33.441501,-70.67854,Robo,0.0
-22.33459,-68.21268,Robo,0.0
-33.438952,-70.652342,Robo,1.0
-32.751316,-70.725585,Robo,0.0
-29.951525,-71.346365,Robo,1.0
-38.895825,-73.255659,Robo,0.0
-34.645297,-71.363548,Robo,0.0
-33.442945,-71.683836,Robo,0.0
-36.827428,-73.051217,Robo,0.2
-34.168975,-70.740158,Robo,0.0
-33.03704,-71.628979,Robo,0.0
-33.450109,-70.661795,Robo,0.0
-32.832761,-70.602919,Robo,0.0
-33.320763,-71.411184,Robo,0.0
-52.650923,-71.464152,Robo,0.0
-38.046029,-71.818932,Robo,0.0
-45.570989,-72.077512,Robo,0.0
-37.720194,-72.245285,Robo,0.0
-40.576518,-73.139989,Robo,0.0
-37.672483,-72.583154,Robo,0.0
-30.232725,-71.085177,Robo,0.0
-35.849735,-71.596313,Robo,0.0
-37.089784,-73.164518,Robo,0.0
-38.932389,-72.032877,Robo,0.0
-32.81155,-71.438602,Robo,0.0
-29.899215,-71.227348,Robo,0.0
-39.827626,-73.222298,Robo,0.0
-30.656139,-71.481125,Robo,0.0
-33.591297,-70.708891,Robo,0.0
-45.151179,-73.508388,Robo,0.0
-32.99665,-71.172289,Robo,0.0
-35.092161,-72.018195,Robo,0.0
-32.988202,-71.277371,Robo,0.0
-32.349683,-70.784522,Robo,0.0
-40.069444,-72.614182,Robo,0.0
-32.984575,-71.270141,Robo,0.0
-33.418749,-71.696503,Robo,0.0
