nodo_id,lat,lon,probabilidad_fallo
Museo Sociedad Artesanos de San Felipe,-32.75347999914095,-70.72548999999992,0.3709126506024097
Museo O'Higginiano y de Bellas Artes de Talca,-35.425656999108405,-71.66468099999992,0.3709126506024097
Museo del Juguete Chileno,-33.521816599130815,-70.58958259999991,0.3709126506024097
Sala de Artes Ex Cine Windsor,-36.82863509909437,-73.04978279999995,0.3709126506024097
Casa Museo Violeta Parra,-36.4268899990982,-71.95481999999993,0.3709126506024097
Museo Paleontológico de Caldera,-27.06477586923485,-70.8230468189999,0.3709126506024097
Museo Campesino de Liray,-33.239747799134484,-70.74034849999993,0.3709126506024097
Museo del Circo Nacional,-33.43209573113198,-70.65594647899991,0.3709126506024097
Museo del Salitre,-22.345475699335804,-69.66121099999992,0.3709126506024097
Museo Histórico de Melipeuco,-38.854623394077976,-71.70047306499993,0.3709126506024097
Museo de la Iglesias de Chiloé,-41.86984719906215,-73.8285292999999,0.3709126506024097
Museo Violeta Parra,-33.438580514131935,-70.6349705479999,0.3709126506024097
Museo del Limarí,-30.59837589117273,-71.19607111599993,0.3709126506024097
Museo de Sitio de Puerto Cristal,-46.56298399905817,-72.39315599999992,0.3709126506024097
Museo de Dalcahue,-42.38051215206048,-73.64804737999992,0.3709126506024097
Museo de Sitio Oficinas Salitreras Humberstone y Santa Laura,-20.207594999387606,-69.7956059999999,0.3709126506024097
Museo El Mirador Lukas,-33.04114969913713,-71.62667109999995,0.3709126506024097
Museo Dillman S. Bullock,-37.82442899908578,-72.66185299999995,0.3709126506024097
Museo de la Loza y Cerámica Nacional,-37.00552729209277,-73.1443139129999,0.3709126506024097
Salón museográfico Tres Acequias,-33.64295699912927,-70.73403299999995,0.3709126506024097
Museo Raúl Mavrakis Morales,-23.099829999318363,-70.45238899999993,0.3709126506024097
Museo Salesiano Maggiorino Borgatello,-53.155568340095094,-70.90207951899993,0.3709126506024097
Galerías de Arte Universidad Autónoma Talca,-35.42012279910847,-71.66803399999992,0.3709126506024097
Centro Cultural Casas San Francisco,-35.384042999108814,-71.44680799999992,0.3709126506024097
Museo Marta Colvin,-36.60513299909644,-72.07649299999991,0.3709126506024097
Museo de la Historia de Penco,-36.738608592095204,-72.99471866599993,0.3709126506024097
Sala Patrimonial Fuerte Reina Luisa,-40.56550259906775,-73.16049559999993,0.3709126506024097
Museo Estancia La Cumbre,-50.734927999075815,-72.40923499999991,0.3709126506024097
Museo Nacional de Historia Natural,-33.441975999131884,-70.68171899999993,0.3709126506024097
Museo Municipal Constitución,-35.331087699109446,-72.41225969999994,0.3709126506024097
Casa Museo Luisa Chijani,-41.940972099061916,-73.82893499999994,0.3709126506024097
Centro Cultural La Unión,-40.29103099906915,-73.0828929999999,0.3709126506024097
Museo Histórico Carabineros de Chile,-33.44173836813187,-70.61261712399994,0.3709126506024097
Museo Escolar Hugo Gunckel,-39.89845439907135,-73.4224908999999,0.3709126506024097
Museo de Bellas Artes de Valparaíso (Museo Baburizza),-33.04032799913713,-71.62910699999992,0.3709126506024097
Escuela Museo Centenario,-37.080078676092064,-73.16479051099992,0.3709126506024097
Museo Histórico - Arqueológico de Quillota,-32.88062623713926,-71.24824506999994,0.3709126506024097
Museo de Sitio Nao Victoria (Barco de Hernando de Magallanes),-53.10737999909463,-70.8792249999999,0.3709126506024097
Museo Histórico y Cultural de Cauquenes,-35.96786559910271,-72.33567409999995,0.3709126506024097
Museo de Puchuncaví,-32.727514999141334,-71.41597199999995,0.3709126506024097
Museo Pedagógico Colegio Germán Riesco,-29.906519999183935,-71.24473999999992,0.3709126506024097
Museo de la Patagonia Padre Antonio Ronchi,-48.46783899906376,-72.55936099999991,0.3709126506024097
"Museo Histórico ""Rector Juan Francisco Muñoz Barrera"" Liceo Gregorio Cordovez",-29.902693999184006,-71.24376299999994,0.3709126506024097
Museo de Historia Natural de Valparaíso,-33.04649049913705,-71.62113929999992,0.3709126506024097
"Museo Provincial del Huasco ""Alfonso Sanguinetti Mulet""",-28.57865199920673,-70.75500199999993,0.3709126506024097
Parque Escultórico Cementerio de Carretas,-32.620229999142815,-70.7112899999999,0.3709126506024097
Sala Museo Centro Nacional de la Fotografía,-33.449987999131714,-70.66076099999992,0.3709126506024097
Museo de Chile Chico,-46.53942799905815,-71.72819769999995,0.3709126506024097
Casona Cultural Duao,-35.55737199910698,-71.58961399999993,0.3709126506024097
Museo San Francisco de Chillán,-36.60436106909647,-72.0964371529999,0.3709126506024097
Estancia Lago Fagnano,-54.50595299910862,-68.73272199999991,0.3709126506024097
Museo Cuerpo de Bomberos de Ancud,-41.86870329906216,-73.82821099999995,0.3709126506024097
Museo Artequin,-33.44430499913183,-70.68418799999995,0.3709126506024097
Museo de Puerto Octay Casa Niklitschek,-40.9749801990658,-72.88408059999995,0.3709126506024097
Museo Histórico de Yerbas Buenas,-35.74886898610497,-71.58236212399993,0.3709126506024097
Museo Vivo Félix Maruenda,-33.71797599912833,-70.73218899999995,0.3709126506024097
Museo de Bomberos de Santiago,-33.43625909913192,-70.65115719999994,0.3709126506024097
Complejo Cultural Museo Interactivo,-32.816666699140114,-71.23333329999991,0.3709126506024097
Cuartel Histórico DFK,-33.03880020713715,-71.62841409599991,0.3709126506024097
Museo de la Vivienda Tradicional Local,-33.37385599913274,-70.60676199999995,0.3709126506024097
Casa Museo La Chascona,-33.43114962013198,-70.63447208499991,0.3709126506024097
Museo Licancheu,-33.93222219912568,-71.79777779999995,0.3709126506024097
