Lat,Lon,Robos
-33.441535,-70.681787,"""20"""
-33.543684,-70.632365,0
-19.250817,-68.722486,0
-33.443418,-70.647609,"""17"""
-33.587424,-70.390091,0
-33.039939,-71.629553,0
-33.474587,-70.650498,0
-30.656343,-71.481042,0
-28.727188,-71.242173,0
-28.508467,-71.078006,0
-23.080131,-69.489061,0
-33.443873,-70.647578,"""17"""
-22.326046,-68.935871,0
-29.902433,-71.240532,0
-36.384101,-71.590725,0
-34.413343,-71.193932,0
-36.736583,-72.995968,0
-33.422185,-70.632407,0
-20.213551,-70.138607,0
-33.440345,-70.647376,"""69"""
-33.440107,-70.653377,"""16"""
-27.823621,-70.129325,0
-33.493203,-70.757728,0
-41.314169,-72.989206,0
-34.068137,-70.683453,0
-33.693299,-70.335934,0
-33.63449,-70.574482,0
-22.910949,-68.200543,0
-42.519614,-73.628406,0
-20.911716,-69.630568,0
-33.441572,-70.683908,0
-20.210615,-70.148196,0
-36.387733,-71.58574,0
-34.58323,-70.988537,0
-23.644996,-70.38983,0
-22.345732,-69.66227,0
-34.408406,-71.210853,0
-35.392703,-72.285756,0
-37.132983,-72.728184,0
-23.648276,-70.397928,0
-32.750218,-70.724479,0
-33.4389,-70.652195,"""23"""
-42.60526,-73.788103,0
-33.44827,-70.657912,0
-35.406622,-72.204036,0
-33.444754,-70.659969,0
-34.413904,-71.191039,0
-33.384113,-70.513612,0
-37.08783,-73.165537,0
-33.431453,-70.630112,0
-33.441359,-70.661794,0
-29.902407,-71.240776,0
-37.796516,-73.400297,0
-28.731311,-71.236343,0
-38.032843,-73.073975,0
-35.470577,-71.553725,0
-33.729327,-70.673648,0
-21.955416,-68.727484,0
-41.498706,-72.88586,0
-33.6396,-70.352433,0
-52.292012,-68.955843,0
-29.90073,-71.251103,"""2"""
-33.027681,-71.629134,0
-34.031698,-71.099345,0
-22.344501,-69.662365,0
-34.355456,-71.100622,0
-53.630392,-70.917146,0
-33.420482,-70.606297,0
-35.430795,-72.127338,0
-36.830197,-73.059345,0
-32.552794,-71.460473,0
-33.476035,-70.675748,0
-27.608369,-70.24486,0
-33.514084,-70.652551,0
-33.036431,-71.631927,0
-38.72571,-72.570821,0
-33.442719,-71.684172,0
-35.383973,-71.445776,0
-33.432499,-70.650367,0
-33.090176,-70.91842,0
-33.041744,-71.604957,0
-54.903918,-67.989647,0
-22.278761,-68.324371,0
-23.654556,-70.393607,0
-32.879432,-70.588587,0
-33.437016,-70.624585,0
-35.553527,-71.696416,0
-35.329468,-72.434221,0
-45.57378,-72.026164,0
-37.957817,-72.440623,0
-33.487549,-70.663615,0
-36.822948,-73.047089,"""3"""
-38.744162,-72.956147,0
-20.210663,-70.147982,0
